"participant..id","trial","reaction.time","stimulus","condition"
10230589,"START",NA,"positive","CAB"
10230589,"Congruent",858.386,"positive","CAB"
10230589,"Incongruent",564.111,"positive","CAB"
10230589,"Congruent",726.179,"positive","CAB"
10230589,"Incongruent",219.575,"positive","CAB"
10230589,"Congruent",763.976,"positive","CAB"
10230589,"Incongruent",313.403,"positive","CAB"
10230589,"END",NA,"positive","CAB"
10230594,"START",NA,"positive","CAB"
10230594,"Congruent",479.752,"positive","ACB"
10230594,"Incongruent",-28.688,"positive","ACB"
10230594,"Congruent",434.144,"positive","ACB"
10230594,"Incongruent",472.384,"positive","ACB"
10230594,"Congruent",620.329,"positive","ACB"
10230594,"Incongruent",391.814,"positive","ACB"
10230594,"END",NA,"positive","ACB"
10230604,"START",NA,"positive","ACB"
10230604,"Congruent",719.715,"positive","ACB"
10230604,"Incongruent",483.478,"positive","ACB"
10230604,"Congruent",461.245,"positive","ACB"
10230604,"Incongruent",681.488,"positive","ACB"
10230604,"Congruent",338.791,"positive","ACB"
10230604,"Incongruent",618.161,"positive","ACB"
10230604,"END",NA,"positive","ACB"
10230659,"START",NA,"positive","ACB"
10230659,"Congruent",396.489,"positive","ACB"
10230659,"Incongruent",488.64,"positive","ACB"
10230659,"Congruent",154.181,"positive","ACB"
10230659,"Incongruent",984.854,"positive","ACB"
10230659,"Congruent",919.484,"positive","ACB"
10230659,"Incongruent",754.993,"positive","ACB"
10230659,"END",NA,"positive","ACB"
10428518,"START",NA,"positive","ACB"
10428518,"Congruent",239.902,"positive","ACB"
10428518,"Incongruent",393.795,"positive","ACB"
10428518,"Congruent",684.68,"positive","ACB"
10428518,"Incongruent",533.483,"positive","ACB"
10428518,"Congruent",899.379,"positive","ACB"
10428518,"Incongruent",322.466,"positive","ACB"
10428518,"END",NA,"positive","ACB"
10441243,"START",NA,"positive","ACB"
10441243,"Congruent",390.007,"positive","ACB"
10441243,"Incongruent",412.154,"positive","ACB"
10441243,"Congruent",450.667,"positive","ACB"
10441243,"Incongruent",434.736,"positive","ACB"
10441243,"Congruent",1047.327,"positive","ACB"
10441243,"Incongruent",941.369,"positive","ACB"
10441243,"END",NA,"positive","ACB"
10445255,"START",NA,"positive","ACB"
10445255,"Congruent",744.395,"positive","ACB"
10445255,"Incongruent",488.266,"positive","ACB"
10445255,"Congruent",708.348,"positive","ACB"
10445255,"Incongruent",774.661,"positive","ACB"
10445255,"Congruent",507.19,"positive","ACB"
10445255,"Incongruent",278.042,"positive","ACB"
10445255,"END",NA,"positive","ACB"
