"participant..id","trial","reaction.time","stimulus","condition"
10229468,"Incongruent",552.073,"negative","ABC"
10229468,"END",NA,"negative","ABC"
10229489,"START",NA,"negative","ABC"
10229489,"Congruent",353.296,"negative","ABC"
10229489,"Incongruent",800.749,"negative","ABC"
10229489,"Congruent",842.478,"negative","ABC"
10229489,"Incongruent",-345.111,"negative","ABC"
10229489,"Congruent",463.686,"negative","ABC"
10229489,"Incongruent",640.622,"negative","ABC"
10229489,"END",NA,"negative","ABC"
10229499,"START",NA,"negative","ABC"
10229499,"Congruent",417.727,"negative","ABC"
10229499,"Incongruent",487.106,"negative","ABC"
10229499,"Congruent",304.452,"negative","ABC"
10229499,"Incongruent",492.632,"negative","ABC"
10229499,"Congruent",584.534,"negative","ABC"
10229499,"Incongruent",340.278,"negative","ABC"
10229499,"END",NA,"negative","ABC"
10229522,"START",NA,"negative","ABC"
10229522,"Congruent",94.958,"negative","ABC"
10229522,"Incongruent",293.299,"negative","ABC"
10229522,"Congruent",508.516,"negative","ABC"
10229522,"Incongruent",351.539,"negative","ABC"
10229522,"Congruent",662.362,"negative","ABC"
10229522,"Incongruent",506.187,"negative","ABC"
10229522,"END",NA,"negative","ABC"
10229525,"START",NA,"negative","ABC"
10229525,"Congruent",689.188,"negative","ABC"
10229525,"Incongruent",397.699,"negative","ABC"
10229525,"Congruent",-241.761,"negative","ABC"
10229525,"Incongruent",220.179,"negative","ABC"
10229525,"Congruent",568.204,"negative","ABC"
10229525,"Incongruent",32.397,"negative","ABC"
10229525,"END",NA,"negative","ABC"
10229575,"START",NA,"negative","ABC"
10229575,"Congruent",191.259,"negative","ABC"
10229575,"Incongruent",-265.319,"negative","ABC"
10229575,"Congruent",634.679,"negative","BCA"
10229575,"Incongruent",356.339,"negative","BCA"
10229575,"Congruent",896.579,"negative","BCA"
10229575,"Incongruent",-7.058,"negative","BCA"
10229575,"END",NA,"negative","BCA"
10230533,"START",NA,"negative","BCA"
10230533,"Congruent",304.416,"negative","BCA"
10230533,"Incongruent",365.251,"negative","BCA"
10230533,"Congruent",720.456,"negative","BCA"
10230533,"Incongruent",391.438,"negative","BCA"
10230533,"Congruent",245.318,"negative","BCA"
10230533,"Incongruent",518.125,"negative","BCA"
10230533,"END",NA,"negative","BCA"
10230537,"START",NA,"negative","BCA"
10230537,"Congruent",365.746,"negative","BCA"
10230537,"Incongruent",472.289,"negative","BCA"
10230537,"Congruent",539.499,"negative","BCA"
10230537,"Incongruent",198.887,"negative","BCA"
10230537,"Congruent",817.066,"negative","BCA"
10230537,"Incongruent",-7.465,"negative","BCA"
10230537,"END",NA,"negative","BCA"
10230546,"START",NA,"negative","BCA"
10230546,"Congruent",1293.074,"negative","BCA"
10230546,"Incongruent",271.681,"negative","BCA"
10230546,"Congruent",744.586,"negative","BCA"
10230546,"Incongruent",-27.736,"negative","BCA"
10230546,"Congruent",-304.458,"negative","BCA"
10230546,"Incongruent",355.323,"negative","BCA"
10230546,"END",NA,"negative","BCA"
10230547,"START",NA,"negative","BCA"
10230547,"Congruent",-105.034,"negative","BCA"
10230547,"Incongruent",217.25,"negative","BCA"
10230547,"Congruent",454.118,"negative","BCA"
10230547,"Incongruent",263.722,"negative","BCA"
10230547,"Congruent",254.589,"negative","BCA"
10230547,"Incongruent",384.814,"negative","BCA"
10230547,"END",NA,"negative","BCA"
10230541,"START",NA,"negative","BCA"
10230541,"Congruent",579.911,"negative","BCA"
10230541,"Incongruent",676.651,"negative","BCA"
10230541,"Congruent",763.119,"negative","BCA"
10230541,"Incongruent",24.592,"negative","BCA"
10230541,"Congruent",78.687,"negative","BCA"
10230541,"Incongruent",779.751,"negative","BCA"
10230541,"END",NA,"negative","BCA"
10230551,"START",NA,"negative","BCA"
10230551,"Congruent",1137.578,"negative","BCA"
10230551,"Incongruent",350.707,"negative","CAB"
10230551,"Congruent",412.126,"negative","CAB"
10230551,"Incongruent",340.234,"negative","CAB"
10230551,"Congruent",464.586,"negative","CAB"
10230551,"Incongruent",264.9,"negative","CAB"
10230551,"END",NA,"negative","CAB"
10230559,"START",NA,"negative","CAB"
10230559,"Congruent",447.161,"negative","CAB"
10230559,"Incongruent",-513.811,"negative","CAB"
10230559,"Congruent",347.18,"negative","CAB"
10230559,"Incongruent",-138.839,"negative","CAB"
10230559,"Congruent",65.311,"negative","CAB"
10230559,"Incongruent",217.769,"negative","CAB"
10230559,"END",NA,"negative","CAB"
10230571,"START",NA,"negative","CAB"
10230571,"Congruent",678.074,"negative","CAB"
10230571,"Incongruent",643.938,"negative","CAB"
10230571,"Congruent",848.696,"negative","CAB"
10230571,"Incongruent",-154.428,"negative","CAB"
10230571,"Congruent",131.34,"negative","CAB"
10230571,"Incongruent",215.97,"negative","CAB"
10230571,"END",NA,"negative","CAB"
10230576,"START",NA,"negative","CAB"
10230576,"Congruent",551.97,"negative","CAB"
10230576,"Incongruent",172.717,"negative","CAB"
10230576,"Congruent",-26.205,"negative","CAB"
10230576,"Incongruent",-67,"negative","CAB"
10230576,"Congruent",473.779,"negative","CAB"
10230576,"Incongruent",722.789,"negative","CAB"
10230576,"END",NA,"negative","CAB"
10230578,"START",NA,"negative","CAB"
10230578,"Congruent",585.725,"negative","CAB"
10230578,"Incongruent",499.754,"negative","CAB"
10230578,"Congruent",671.39,"negative","CAB"
10230578,"Incongruent",297.261,"negative","CAB"
10230578,"Congruent",-24.061,"negative","CAB"
10230578,"Incongruent",155.791,"negative","CAB"
10230578,"END",NA,"negative","CAB"
10230589,"START",NA,"negative","CAB"
10230589,"Congruent",41.598,"negative","CAB"
10230589,"Incongruent",335.118,"negative","CAB"
10230589,"Congruent",159.501,"negative","CAB"
10230589,"Incongruent",344.942,"negative","CAB"
10230589,"Congruent",563.284,"negative","CAB"
10230589,"Incongruent",357.94,"negative","CAB"
10230589,"END",NA,"negative","CAB"
10230594,"START",NA,"negative","CAB"
10230594,"Congruent",305.201,"negative","ACB"
10230594,"Incongruent",626.05,"negative","ACB"
10230594,"Congruent",524.067,"negative","ACB"
10230594,"Incongruent",828.337,"negative","ACB"
10230594,"Congruent",504.853,"negative","ACB"
10230594,"Incongruent",-216.102,"negative","ACB"
10230594,"END",NA,"negative","ACB"
10230604,"START",NA,"negative","ACB"
10230604,"Congruent",612.925,"negative","ACB"
10230604,"Incongruent",518.561,"negative","ACB"
10230604,"Congruent",573.967,"negative","ACB"
10230604,"Incongruent",658.302,"negative","ACB"
10230604,"Congruent",471.897,"negative","ACB"
10230604,"Incongruent",409.348,"negative","ACB"
10230604,"END",NA,"negative","ACB"
10230659,"START",NA,"negative","ACB"
10230659,"Congruent",552.053,"negative","ACB"
10230659,"Incongruent",373.043,"negative","ACB"
10230659,"Congruent",1047.36,"negative","ACB"
10230659,"Incongruent",108.251,"negative","ACB"
10230659,"Congruent",-70.107,"negative","ACB"
10230659,"Incongruent",-364.35,"negative","ACB"
10230659,"END",NA,"negative","ACB"
10428518,"START",NA,"negative","ACB"
10428518,"Congruent",107.283,"negative","ACB"
10428518,"Incongruent",279.44,"negative","ACB"
10428518,"Congruent",683.783,"negative","ACB"
10428518,"Incongruent",72.262,"negative","ACB"
10428518,"Congruent",716.295,"negative","ACB"
10428518,"Incongruent",850.001,"negative","ACB"
10428518,"END",NA,"negative","ACB"
10441243,"START",NA,"negative","ACB"
10441243,"Congruent",452.447,"negative","ACB"
10441243,"Incongruent",644.245,"negative","ACB"
10441243,"Congruent",538.565,"negative","ACB"
10441243,"Incongruent",231.27,"negative","ACB"
10441243,"Congruent",61.189,"negative","ACB"
10441243,"Incongruent",519.727,"negative","ACB"
10441243,"END",NA,"negative","ACB"
10445255,"START",NA,"negative","ACB"
10445255,"Congruent",883.998,"negative","ACB"
10445255,"Incongruent",467.524,"negative","ACB"
10445255,"Congruent",165.538,"negative","ACB"
10445255,"Incongruent",147.975,"negative","ACB"
10445255,"Congruent",549.675,"negative","ACB"
10445255,"Incongruent",67.978,"negative","ACB"
10445255,"END",NA,"negative","ACB"
